Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
131394910,Management,39.0,29.5,27.0,6.0,10.0,42.0,0.0,0.0,35.5,14.5,10.0,48.0,7.0,10.786,41.5,6.0,11.0,47.5,0.0,0.0,41.5,0.0,0.0,29.0,10.0,10.8,143.0,0.0,0.0,1
131391329,Biology,23.0,24.0,32.0,28.0,13.142999999999999,40.0,30.0,14.0,36.0,24.0,13.25,36.0,30.0,13.4,30.0,17.0,11.470999999999998,30.0,12.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
111345779,Nursing,30.0,30.0,26.0,26.0,15.192,30.0,30.0,16.0,26.0,26.0,14.0,34.0,24.0,15.25,30.0,30.0,13.767000000000001,30.0,30.0,13.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
131382288,Management,30.0,30.0,30.0,30.0,14.9,30.0,30.0,15.2,30.0,30.0,14.5,30.0,30.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
131379697,Nursing,30.0,30.0,30.0,30.0,14.567,30.0,30.0,15.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
131398732,Management,33.0,36.0,27.0,0.0,0.0,30.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,17.0,0.0,0.0,29.0,0.0,0.0,34.5,0.0,0.0,130.0,0.0,0.0,1
131388650,Informatics,36.0,24.0,30.0,30.0,15.467,30.0,30.0,15.0,30.0,30.0,13.2,30.0,30.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131387163,Informatics,28.0,0.0,15.0,9.0,10.333,36.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131385729,Nursing,9.0,10.0,34.0,31.0,14.225999999999999,30.0,20.0,16.5,28.0,22.0,14.864,30.0,30.0,15.0,30.0,20.0,14.35,27.0,27.0,13.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
131383362,Nursing,27.0,42.0,42.0,0.0,0.0,27.0,0.0,0.0,27.0,5.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
